Bus,Date,Hour,LMP,LMP DA,Overgeneration,Shortfall
CopperSheet,2020-01-08,8,36.123987,,0.0,0.0
CopperSheet,2020-01-08,9,0.0,,0.0,0.0
CopperSheet,2020-01-08,10,0.0,,0.0,0.0
CopperSheet,2020-01-08,11,0.0,,0.0,0.0
CopperSheet,2020-01-08,12,0.0,,0.0,0.0
CopperSheet,2020-01-08,13,0.0,,0.0,0.0
CopperSheet,2020-01-08,14,0.0,,0.0,0.0
CopperSheet,2020-01-08,15,0.0,,0.0,0.0
CopperSheet,2020-01-08,16,0.0,,0.0,0.0
CopperSheet,2020-01-08,17,0.0,,0.0,0.0
CopperSheet,2020-01-08,18,20.419032,,0.0,0.0
CopperSheet,2020-01-08,19,25.3,,0.0,0.0
CopperSheet,2020-01-08,20,27.274839,,0.0,0.0
CopperSheet,2020-01-08,21,25.3,,0.0,0.0
CopperSheet,2020-01-08,22,24.617429,,0.0,0.0
CopperSheet,2020-01-08,23,21.843871,,0.0,0.0
CopperSheet,2020-01-08,24,19.034194,,0.0,0.0
CopperSheet,2020-01-09,1,18.573548,,0.0,0.0
CopperSheet,2020-01-09,2,0.0,,0.0,0.0
CopperSheet,2020-01-09,3,0.0,,0.0,0.0
CopperSheet,2020-01-09,4,0.0,,0.0,0.0
CopperSheet,2020-01-09,5,0.0,,0.0,0.0
CopperSheet,2020-01-09,6,18.573548,,0.0,0.0
CopperSheet,2020-01-09,7,23.07,,0.0,0.0
CopperSheet,2020-01-09,8,27.050323,,0.0,0.0
CopperSheet,2020-01-09,9,18.072549,,0.0,0.0
CopperSheet,2020-01-09,10,0.0,,0.0,0.0
CopperSheet,2020-01-09,11,0.0,,0.0,0.0
CopperSheet,2020-01-09,12,0.0,,0.0,0.0
CopperSheet,2020-01-09,13,16.970779,,0.0,0.0
CopperSheet,2020-01-09,14,19.689677,,0.0,0.0
CopperSheet,2020-01-09,15,19.689677,,0.0,0.0
CopperSheet,2020-01-09,16,22.492903,,0.0,0.0
CopperSheet,2020-01-09,17,22.492903,,0.0,0.0
CopperSheet,2020-01-09,18,30.530146,,0.0,0.0
CopperSheet,2020-01-09,19,36.123987,,0.0,0.0
CopperSheet,2020-01-09,20,25.3,,0.0,0.0
CopperSheet,2020-01-09,21,23.07,,0.0,0.0
CopperSheet,2020-01-09,22,21.843871,,0.0,0.0
CopperSheet,2020-01-09,23,19.689677,,0.0,0.0
CopperSheet,2020-01-09,24,20.4,,0.0,0.0
CopperSheet,2020-01-10,1,20.419032,,0.0,0.0
CopperSheet,2020-01-10,2,18.573548,,0.0,0.0
CopperSheet,2020-01-10,3,16.970779,,0.0,0.0
CopperSheet,2020-01-10,4,18.573548,,0.0,0.0
CopperSheet,2020-01-10,5,20.4,,0.0,0.0
CopperSheet,2020-01-10,6,22.492903,,0.0,0.0
CopperSheet,2020-01-10,7,25.3,,0.0,0.0
CopperSheet,2020-01-10,8,25.3,,0.0,0.0
CopperSheet,2020-01-10,9,0.0,,0.0,0.0
CopperSheet,2020-01-10,10,0.0,,0.0,0.0
CopperSheet,2020-01-10,11,0.0,,0.0,0.0
CopperSheet,2020-01-10,12,0.0,,0.0,0.0
CopperSheet,2020-01-10,13,0.0,,0.0,0.0
CopperSheet,2020-01-10,14,0.0,,0.0,0.0
CopperSheet,2020-01-10,15,0.0,,0.0,0.0
CopperSheet,2020-01-10,16,0.0,,0.0,0.0
CopperSheet,2020-01-10,17,18.573548,,0.0,0.0
CopperSheet,2020-01-10,18,27.274839,,0.0,0.0
CopperSheet,2020-01-10,19,36.123987,,0.0,0.0
CopperSheet,2020-01-10,20,33.035161,,0.0,0.0
CopperSheet,2020-01-10,21,25.3,,0.0,0.0
CopperSheet,2020-01-10,22,26.324188,,0.0,0.0
CopperSheet,2020-01-10,23,33.035161,,0.0,0.0
CopperSheet,2020-01-10,24,19.689677,,0.0,0.0
CopperSheet,2020-01-11,1,19.034194,,0.0,0.0
CopperSheet,2020-01-11,2,19.689677,,0.0,0.0
CopperSheet,2020-01-11,3,20.4,,0.0,0.0
CopperSheet,2020-01-11,4,19.689677,,0.0,0.0
CopperSheet,2020-01-11,5,18.861,,0.0,0.0
CopperSheet,2020-01-11,6,20.419032,,0.0,0.0
CopperSheet,2020-01-11,7,23.07,,0.0,0.0
CopperSheet,2020-01-11,8,33.035161,,0.0,0.0
CopperSheet,2020-01-11,9,27.274839,,0.0,0.0
CopperSheet,2020-01-11,10,27.274839,,0.0,0.0
CopperSheet,2020-01-11,11,26.324188,,0.0,0.0
CopperSheet,2020-01-11,12,36.123987,,0.0,0.0
CopperSheet,2020-01-11,13,26.324188,,0.0,0.0
CopperSheet,2020-01-11,14,21.116774,,0.0,0.0
CopperSheet,2020-01-11,15,19.689677,,0.0,0.0
CopperSheet,2020-01-11,16,19.689677,,0.0,0.0
CopperSheet,2020-01-11,17,23.07,,0.0,0.0
CopperSheet,2020-01-11,18,26.324188,,0.0,0.0
CopperSheet,2020-01-11,19,36.123987,,0.0,0.0
CopperSheet,2020-01-11,20,27.050323,,0.0,0.0
CopperSheet,2020-01-11,21,33.035161,,0.0,0.0
CopperSheet,2020-01-11,22,24.617429,,0.0,0.0
CopperSheet,2020-01-11,23,24.617429,,0.0,0.0
CopperSheet,2020-01-11,24,20.419032,,0.0,0.0
CopperSheet,2020-01-12,1,20.419032,,0.0,0.0
CopperSheet,2020-01-12,2,18.861,,0.0,0.0
CopperSheet,2020-01-12,3,19.034194,,0.0,0.0
CopperSheet,2020-01-12,4,0.0,,0.0,0.0
CopperSheet,2020-01-12,5,0.0,,0.0,0.0
CopperSheet,2020-01-12,6,14.191503,,0.0,0.0
CopperSheet,2020-01-12,7,18.573548,,0.0,0.0
CopperSheet,2020-01-12,8,19.689677,,0.0,0.0
CopperSheet,2020-01-12,9,0.0,,0.0,0.0
CopperSheet,2020-01-12,10,0.0,,0.0,0.0
CopperSheet,2020-01-12,11,0.0,,0.0,0.0
CopperSheet,2020-01-12,12,0.0,,0.0,0.0
CopperSheet,2020-01-12,13,0.0,,0.0,0.0
CopperSheet,2020-01-12,14,0.0,,0.0,0.0
CopperSheet,2020-01-12,15,0.0,,0.0,0.0
CopperSheet,2020-01-12,16,0.0,,0.0,0.0
CopperSheet,2020-01-12,17,0.0,,0.0,0.0
CopperSheet,2020-01-12,18,24.617429,,0.0,0.0
CopperSheet,2020-01-12,19,107.135,,0.0,0.0
CopperSheet,2020-01-12,20,36.123987,,0.0,0.0
CopperSheet,2020-01-12,21,26.790747,,0.0,0.0
CopperSheet,2020-01-12,22,26.790747,,0.0,0.0
CopperSheet,2020-01-12,23,23.657742,,0.0,0.0
CopperSheet,2020-01-12,24,23.07,,0.0,0.0
CopperSheet,2020-01-13,1,23.07,,0.0,0.0
CopperSheet,2020-01-13,2,20.846104,,0.0,0.0
CopperSheet,2020-01-13,3,19.034194,,0.0,0.0
CopperSheet,2020-01-13,4,19.689677,,0.0,0.0
CopperSheet,2020-01-13,5,18.861,,0.0,0.0
CopperSheet,2020-01-13,6,20.419032,,0.0,0.0
CopperSheet,2020-01-13,7,23.206645,,0.0,0.0
CopperSheet,2020-01-13,8,36.123987,,0.0,0.0
CopperSheet,2020-01-13,9,22.968387,,0.0,0.0
CopperSheet,2020-01-13,10,20.846104,,0.0,0.0
CopperSheet,2020-01-13,11,20.419032,,0.0,0.0
CopperSheet,2020-01-13,12,19.034194,,0.0,0.0
CopperSheet,2020-01-13,13,19.034194,,0.0,0.0
CopperSheet,2020-01-13,14,18.861,,0.0,0.0
CopperSheet,2020-01-13,15,19.034194,,0.0,0.0
CopperSheet,2020-01-13,16,18.573548,,0.0,0.0
CopperSheet,2020-01-13,17,20.419032,,0.0,0.0
CopperSheet,2020-01-13,18,10000.0,,0.0,0.0
CopperSheet,2020-01-13,19,27.274839,,0.0,0.0
CopperSheet,2020-01-13,20,25.3,,0.0,0.0
CopperSheet,2020-01-13,21,36.123987,,0.0,0.0
CopperSheet,2020-01-13,22,23.657742,,0.0,0.0
CopperSheet,2020-01-13,23,23.07,,0.0,0.0
CopperSheet,2020-01-13,24,21.843871,,0.0,0.0
CopperSheet,2020-01-14,1,19.034194,,0.0,0.0
CopperSheet,2020-01-14,2,18.861,,0.0,0.0
CopperSheet,2020-01-14,3,14.191503,,0.0,0.0
CopperSheet,2020-01-14,4,0.0,,0.0,0.0
CopperSheet,2020-01-14,5,0.0,,0.0,0.0
CopperSheet,2020-01-14,6,0.0,,0.0,0.0
CopperSheet,2020-01-14,7,20.419032,,0.0,0.0
CopperSheet,2020-01-14,8,33.035161,,0.0,0.0
CopperSheet,2020-01-14,9,18.463399,,0.0,0.0
CopperSheet,2020-01-14,10,0.0,,0.0,0.0
CopperSheet,2020-01-14,11,0.0,,0.0,0.0
CopperSheet,2020-01-14,12,0.0,,0.0,0.0
CopperSheet,2020-01-14,13,0.0,,0.0,0.0
CopperSheet,2020-01-14,14,0.0,,0.0,0.0
CopperSheet,2020-01-14,15,0.0,,0.0,0.0
CopperSheet,2020-01-14,16,0.0,,0.0,0.0
CopperSheet,2020-01-14,17,0.0,,0.0,0.0
CopperSheet,2020-01-14,18,19.429677,,0.0,0.0
CopperSheet,2020-01-14,19,10000.0,,0.0,0.0
